Method,Np,CR,PSNR,PEARSON,PSNR1,PEARSON1
DLSR Model,1024,19.2,15.1,0.46,31.9,0.71
CS: jitter,1024,19.2,13.3,0.4,11.7,0.16
CS: random,1024,19.2,13.4,0.41,10.2,0.24
